"SUID","EdgeBetweenness","interaction","name","path length","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"5761","493.74830443","pp","1352.AL014_02220 (pp) 1352.AL014_08980",,"false","pp","1352.AL014_02220 (pp) 1352.AL014_08980",,,,,,,,,
"5762","810.43730681","pp","1352.AL014_02220 (pp) 1352.AL014_09075",,"false","pp","1352.AL014_02220 (pp) 1352.AL014_09075",,,,,,,,,
"5763","1044.2294791","pp","1352.AL014_02220 (pp) 1352.AL014_11165",,"false","pp","1352.AL014_02220 (pp) 1352.AL014_11165",,,,,,,,,
"5764","355.91206395","pp","1352.AL014_02220 (pp) 1352.AL014_09790",,"false","pp","1352.AL014_02220 (pp) 1352.AL014_09790",,,,,,,,,
"5765","628.89303871","pp","1352.AL014_02220 (pp) 1352.AL014_10465",,"false","pp","1352.AL014_02220 (pp) 1352.AL014_10465",,,,,,,,,
"5766","1276.66542034","pp","1352.AL014_02220 (pp) 1352.AL014_11385",,"false","pp","1352.AL014_02220 (pp) 1352.AL014_11385",,,,,,,,,
"5767","3285.77280964","pp","1352.AL014_02220 (pp) 1352.AL014_12625",,"false","pp","1352.AL014_02220 (pp) 1352.AL014_12625",,,,,,,,,
"5768","309.18893827","pp","1352.AL014_02220 (pp) 1352.AL014_10860",,"false","pp","1352.AL014_02220 (pp) 1352.AL014_10860",,,,,,,,,
"5769","518.59530637","pp","1352.AL014_02220 (pp) 1352.AL014_14420",,"false","pp","1352.AL014_02220 (pp) 1352.AL014_14420",,,,,,,,,
"5770","1236.53606718","pp","1352.AL014_02220 (pp) 1352.AL014_11880",,"false","pp","1352.AL014_02220 (pp) 1352.AL014_11880",,,,,,,,,
"5771","171.22210172","pp","1352.AL014_02220 (pp) 1352.AL014_11940",,"false","pp","1352.AL014_02220 (pp) 1352.AL014_11940",,,,,,,,,
"5772","1499.57225552","pp","1352.AL014_02220 (pp) 1352.AL014_13245",,"false","pp","1352.AL014_02220 (pp) 1352.AL014_13245",,,,,,,,,
"5773","333.35781029","pp","1352.AL014_02220 (pp) 1352.AL014_11985",,"false","pp","1352.AL014_02220 (pp) 1352.AL014_11985",,,,,,,,,
"5774","671.32866086","pp","1352.AL014_02220 (pp) 1352.AL014_14550",,"false","pp","1352.AL014_02220 (pp) 1352.AL014_14550",,,,,,,,,
"5775","1005.9600654","pp","1352.AL014_02220 (pp) 1352.AL014_14685",,"false","pp","1352.AL014_02220 (pp) 1352.AL014_14685",,,,,,,,,
"5776","1326.10416444","pp","1352.AL014_02220 (pp) 1352.AL014_14985",,"false","pp","1352.AL014_02220 (pp) 1352.AL014_14985",,,,,,,,,
"5777","4582.54991364","pp","1352.AL014_02220 (pp) 1352.AL014_13320",,"false","pp","1352.AL014_02220 (pp) 1352.AL014_13320",,,,,,,,,
"5778","90.45607457","pp","1352.AL014_07005 (pp) 1352.AL014_07440",,"false","pp","1352.AL014_07005 (pp) 1352.AL014_07440",,,,,,,,,
